58,40,4,14,62,54,13,73,21,56,34,21,36,39,40,74,57,44,50,52,19,59,31,45,55,64,42,36,13,5,74,64,15,3,9,7,45,50,24,25,17,61,37,73,12,45,62,62,65,65,55,53,1,30,73,7,40,7,40,31,63,60,64,45,68,64,69,13,57,16,68,14,64,67,2
37,39,69,8,35,74,4,29,14,28,64,9,48,74,26,16,70,31,41,20,23,38,66,19,17,36,63,44,74,36,8,55,64,56,29,74,73,65,40,39,1,16,68,5,8,33,49,70,51,25,59,42,23,24,48,36,42,38,3,71,48,8,71,22,50,49,18,34,69,2,15,29,38,53,52
62,4,29,72,47,36,39,17,68,21,22,33,3,74,21,47,73,12,3,36,53,48,40,64,22,62,11,71,22,72,47,64,51,65,20,14,45,41,18,16,6,11,49,26,61,12,8,2,23,27,53,44,72,43,42,54,56,39,50,24,20,59,1,5,44,2,9,54,61,26,60,27,50,12,72
51,68,50,70,72,30,61,37,44,55,15,40,73,3,9,62,65,27,50,55,6,74,66,12,36,36,42,65,1,27,52,57,14,75,28,19,10,38,48,74,1,32,35,18,75,72,57,51,33,73,24,19,5,27,46,15,25,22,58,40,11,49,22,52,61,16,44,34,18,44,53,74,59,13,50
5,41,28,5,54,26,51,11,25,47,21,58,6,18,59,24,4,69,44,31,13,13,51,39,31,8,73,46,3,36,22,9,23,72,56,24,37,33,14,43,1,72,17,64,61,54,32,53,30,47,71,29,39,38,29,37,45,6,4,7,63,73,42,45,48,75,51,26,51,72,60,24,35,53,61
43,62,67,66,25,25,36,34,14,52,35,68,34,14,36,50,12,71,16,5,22,32,46,33,15,17,33,70,19,9,9,65,14,69,75,68,55,30,48,36,20,36,21,27,23,67,31,34,55,38,32,65,43,3,36,25,30,4,21,15,22,53,56,66,25,18,40,37,5,30,11,50,19,19,64
14,31,60,49,75,74,23,29,10,22,6,28,28,10,54,32,37,57,40,28,20,11,6,47,43,19,60,8,11,59,14,13,22,6,58,60,74,9,53,7,16,66,50,21,41,68,46,49,54,68,51,58,9,61,47,20,6,18,51,55,49,12,6,48,62,6,75,37,72,73,2,43,2,67,38
38,33,16,10,5,36,63,35,32,49,21,41,55,34,71,35,48,13,6,41,56,37,16,3,1,20,71,59,3,46,38,12,26,42,46,39,11,28,41,61,9,11,46,39,55,40,30,26,5,42,15,74,49,34,71,6,67,40,62,27,17,62,31,73,66,66,61,39,68,22,35,62,48,54,25
45,65,75,35,31,21,52,71,56,12,48,72,44,64,23,67,35,9,12,37,20,16,9,21,52,61,24,6,27,18,28,35,46,61,4,58,34,69,38,69,8,41,64,70,18,60,24,69,12,48,69,10,17,71,25,51,58,51,50,3,60,9,5,47,14,60,52,25,42,41,50,48,40,54,13
8,23,16,59,41,47,74,23,22,71,4,10,74,26,18,10,21,51,65,3,55,1,56,23,19,25,10,4,73,50,29,6,13,13,30,33,30,31,67,74,71,18,72,14,28,64,69,47,57,55,64,73,59,51,57,58,12,64,55,71,58,49,34,2,69,27,29,42,51,42,24,38,46,51,4
40,51,60,12,21,15,50,32,47,19,50,25,66,58,23,5,72,16,12,31,51,12,61,40,51,39,5,22,16,10,15,32,1,64,16,66,42,23,25,23,18,46,2,58,23,8,34,32,52,37,51,7,42,34,41,53,33,54,25,14,3,31,10,75,41,63,38,45,70,8,49,45,28,28,8
35,67,65,43,21,13,75,51,13,29,8,40,30,69,24,73,70,56,45,54,66,39,33,33,47,47,55,75,9,39,24,5,24,35,37,29,25,70,75,70,19,58,71,5,20,19,39,33,66,8,9,1,11,5,47,34,75,68,28,21,21,12,19,30,73,71,32,30,28,2,59,47,54,59,34
25,42,53,32,16,39,34,14,25,62,36,67,18,29,30,46,35,16,51,67,12,21,4,63,18,24,36,17,59,66,52,41,32,5,2,19,52,60,17,11,8,25,27,2,47,57,73,67,65,49,42,28,28,41,20,63,36,18,61,71,34,18,41,60,40,2,17,15,49,33,66,24,17,75,7
64,46,13,52,36,55,68,42,59,73,75,24,73,22,48,75,57,9,66,8,24,51,24,46,58,32,52,58,48,56,21,71,34,64,2,22,37,63,46,13,29,4,6,7,19,54,34,32,64,68,65,43,74,40,61,29,2,50,12,33,65,16,61,39,32,17,51,56,34,11,42,71,65,44,60
72,38,56,41,28,8,7,5,39,33,63,74,27,75,62,8,63,37,22,19,62,36,66,42,21,61,43,29,17,13,32,13,31,13,2,66,32,18,24,53,54,29,67,44,20,4,14,56,71,22,72,5,53,11,17,30,43,11,62,19,53,41,65,40,31,39,23,4,29,7,11,30,22,49,46
49,16,50,49,8,27,44,6,67,67,64,49,9,35,20,25,32,29,4,29,68,59,17,43,50,18,54,21,8,39,41,52,44,54,69,75,56,22,2,38,74,30,5,2,70,48,66,21,62,25,18,2,37,31,36,72,73,38,44,15,25,11,1,24,41,69,29,6,16,35,20,39,22,43,58
67,65,68,27,45,38,65,32,70,67,40,22,14,27,50,49,34,24,21,2,4,66,22,71,20,19,35,4,70,32,35,10,45,51,48,74,23,8,43,2,36,48,57,36,1,15,2,35,17,41,60,64,10,68,45,59,70,52,2,12,30,31,63,30,70,10,42,17,41,12,55,40,48,36,15
57,75,27,45,17,57,14,28,37,1,57,28,34,20,19,54,63,30,24,35,69,65,49,56,42,9,36,36,42,68,67,28,44,29,20,34,61,71,65,71,75,35,39,38,4,75,68,42,7,39,45,20,46,53,31,9,29,58,22,38,37,30,26,11,7,27,41,3,57,55,22,65,3,45,35
41,32,36,14,6,32,25,31,32,29,29,50,70,25,58,43,38,19,47,65,40,48,16,10,5,25,62,31,33,18,55,42,75,48,55,7,22,31,44,39,42,4,10,47,72,60,30,2,75,46,27,20,37,52,5,14,22,25,7,16,19,61,7,9,23,23,61,64,6,61,72,21,66,12,22
44,43,61,55,24,5,53,14,55,37,9,39,17,65,11,26,8,55,2,21,49,67,20,11,25,39,34,18,15,15,28,45,42,34,10,19,68,28,72,12,6,20,68,54,13,41,40,53,6,45,64,51,69,67,10,13,30,51,46,74,39,15,60,37,6,28,53,62,14,13,28,13,27,14,25
30,53,44,48,36,20,43,38,43,15,69,12,74,56,18,22,38,32,26,56,66,50,34,23,32,17,38,9,28,4,64,30,31,26,36,48,45,29,63,13,18,46,36,70,18,57,44,66,44,18,11,39,5,30,38,45,25,54,33,35,25,55,24,67,15,2,12,56,35,44,70,48,50,70,39
39,7,69,68,56,24,23,4,49,4,4,75,21,75,51,40,17,19,24,44,48,50,18,27,63,34,6,21,7,30,13,40,22,33,10,45,18,52,58,50,6,73,38,70,59,31,18,19,14,68,46,47,28,10,55,20,27,59,23,15,59,66,58,64,20,7,50,49,47,31,11,50,66,71,50
